Name,Course,"Awarded on",Code
"Course Completion Certificate","SOFTWARE ENGINEERING-UCT305-2021ODDSEM","Tuesday, 2 March 2021, 5:42 AM",YdEjOIfGHu
"Course Completion Certificate","COMPUTATIONAL STATISTICS-UCT304-2021ODDSEM","Tuesday, 2 March 2021, 5:39 AM",5JO6YdeKBE
"Course Completion Certificate","OBJECT ORIENTED PROGRAMMING-UCT303-2021ODDSEM","Tuesday, 2 March 2021, 5:36 AM",FCVzbhoYUN
"Course Completion Certificate","COMPUTER ORGANIZATION &amp; ARCHITECTURE-UCT302-2021ODDSEM","Tuesday, 2 March 2021, 5:33 AM",JBeHE91Bvu
"Course Completion Certificate","FORMAL LANGUAGE AND AUTOMATA THEORY-UCT301-2021ODDSEM","Tuesday, 2 March 2021, 1:21 AM",qq3yDBguKm
